"","X","game_id","time","human_id","ai_id","prolific_id","condition","difficulty","confidence","comments","game","round","human_action","human_rt","ai_action","ai_rt","winner","round_condition","stage","score","stage.f","game.f","interaction_lvl","opp_type","condition.f","adj_score"
"2967",2967,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",7,"fire",281,"fire",1616.241894,"tie","Level1",2,0,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",0
"2968",2968,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",8,"fire",3906,"water",1564.235105,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2969",2969,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",9,"fire",439,"water",1658.819557,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2970",2970,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",10,"fire",698,"water",1114.365563,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2971",2971,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",11,"fire",844,"water",1413.956507,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2972",2972,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",12,"fire",879,"water",716.5495634,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2973",2973,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",13,"water",388,"water",727.9301668,"tie","Level1",2,0,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",0
"2974",2974,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",14,"water",425,"grass",1647.790207,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2975",2975,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",15,"fire",283,"grass",1416.55565,"human","Level1",2,1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",1
"2976",2976,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",16,"fire",406,"water",1483.810584,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2977",2977,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",17,"fire",228,"water",1864.259328,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2978",2978,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",18,"grass",346,"water",1554.194171,"human","Level1",2,1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",1
"2979",2979,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",19,"grass",622,"fire",1084.075755,"AI","Level1",2,-1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",-1
"2980",2980,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",20,"water",343,"fire",1353.823803,"human","Level1",2,1,"Stage 2","FWG","first interaction","Level_1","lvl_2 first",1
"2981",2981,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",1,"water",5344,"fire",1362.465189,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2982",2982,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",2,"fire",571,"grass",1277.853363,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2983",2983,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",3,"grass",980,"water",994.0345317,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2984",2984,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",4,"water",466,"fire",1076.139932,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2985",2985,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",5,"fire",321,"grass",605.2854103,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2986",2986,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",6,"grass",230,"water",1305.158478,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2987",2987,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",7,"water",629,"fire",1001.340319,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2988",2988,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",8,"fire",1045,"grass",1037.337361,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2989",2989,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",9,"grass",668,"water",788.7712733,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2990",2990,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",10,"water",446,"fire",802.4537559,"human","Level2",3,1,"Stage 3","FWG","second interaction","Level_2","lvl_2 first",1
"2991",2991,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",1,"grass",8771,"grass",1113.599015,"tie","Level1",4,0,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",0
"2992",2992,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",2,"water",201,"fire",509.2866791,"human","Level1",4,1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",1
"2993",2993,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",3,"water",469,"grass",1509.999248,"AI","Level1",4,-1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",-1
"2994",2994,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",4,"water",385,"grass",1314.807343,"AI","Level1",4,-1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",-1
"2995",2995,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",5,"fire",269,"grass",1869.997192,"human","Level1",4,1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",1
"2996",2996,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",6,"fire",381,"water",666.6441421,"AI","Level1",4,-1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",-1
"2997",2997,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",7,"grass",1025,"water",1564.673324,"human","Level1",4,1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",1
"2998",2998,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",8,"water",453,"fire",1598.506435,"human","Level1",4,1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",1
"2999",2999,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",9,"water",807,"grass",1202.736019,"AI","Level1",4,-1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",-1
"3000",3000,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","fwg",10,"fire",395,"grass",1250.602591,"human","Level1",4,1,"Stage 4","FWG","second interaction","Level_1","lvl_2 first",1
"3001",3001,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",1,"center",9741,"center",1002.778196,"AI","Level2",1,-1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",-1
"3002",3002,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",2,"center",2308,"left",1177.97877,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3003",3003,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",3,"center",485,"center",1297.503994,"AI","Level2",1,-1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",-1
"3004",3004,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",4,"center",386,"left",1396.377892,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3005",3005,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",5,"left",483,"right",1375.471545,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3006",3006,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",6,"right",1860,"center",1804.498306,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3007",3007,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",7,"center",460,"right",1532.578016,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3008",3008,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",8,"right",362,"center",1669.757542,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3009",3009,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",9,"center",458,"left",791.1221184,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3010",3010,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",10,"left",545,"center",515.0707909,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3011",3011,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",11,"center",406,"right",1868.048389,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3012",3012,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",12,"right",413,"left",1012.49314,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3013",3013,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",13,"center",400,"right",1653.934535,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3014",3014,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",14,"left",1540,"left",664.4454391,"AI","Level2",1,-1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",-1
"3015",3015,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",15,"left",403,"center",731.2903254,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3016",3016,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",16,"center",809,"right",699.2184471,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3017",3017,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",17,"right",635,"center",860.9983431,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3018",3018,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",18,"center",176,"right",916.0053488,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3019",3019,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",19,"left",1360,"left",504.7292541,"AI","Level2",1,-1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",-1
"3020",3020,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",20,"right",1527,"center",835.4190318,"human","Level2",1,1,"Stage 1","SHOOT","first interaction","Level_2","lvl_2 first",0.67
"3021",3021,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",1,"right",4836,"center",685.1711079,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3022",3022,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",2,"left",377,"right",1265.033398,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3023",3023,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",3,"center",49,"left",1581.852468,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3024",3024,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",4,"right",479,"center",1955.280511,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3025",3025,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",5,"left",420,"right",1338.909897,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3026",3026,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",6,"center",236,"left",1640.282584,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3027",3027,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",7,"right",392,"center",1432.306478,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3028",3028,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",8,"left",1098,"right",1457.256262,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3029",3029,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",9,"center",356,"left",1546.253528,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3030",3030,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",10,"right",652,"center",1214.333482,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3031",3031,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",11,"left",597,"right",1303.567868,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3032",3032,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",12,"center",437,"left",1067.421268,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3033",3033,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",13,"right",4060,"center",876.271245,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3034",3034,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",14,"left",424,"right",1782.705161,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3035",3035,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",15,"center",131,"left",1972.947808,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3036",3036,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",16,"right",645,"center",526.6509617,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3037",3037,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",17,"left",493,"right",508.1048088,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3038",3038,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",18,"center",296,"left",987.7113097,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3039",3039,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",19,"right",755,"center",1229.955386,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
"3040",3040,"49fbc519-cc71-4c05-bc9e-fa72fe555e72",NA,"Ipzb3ezDIYT0eRneAAAS","kz4TFhuJM1AK5iRpAAAT","5d52bf7c88e74b00177db75e","Level2",61,40,"the first one was abc abc abc abc","shootout",20,"left",550,"right",975.6087218,"human","Level1",2,1,"Stage 2","SHOOT","first interaction","Level_1","lvl_2 first",0.67
